,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,Bad,83.0,176,8,70.0,8,0,0,100.0,-7,7,8,8,3,50.0,0,0,0,38.0,91.0,2.0,2.0,0,80.0
1,Bad,64.0,25,1,9.0,5,1,1,100.0,-7,7,8,7,4,17.0,0,1,1,8.0,-8.0,2.0,1.0,0,75.0
2,Bad,73.0,229,13,122.0,16,0,0,88.0,3,4,6,17,0,41.0,0,0,0,40.0,56.0,2.0,2.0,0,100.0
3,Good,68.0,272,4,89.0,31,0,0,100.0,-7,7,8,33,2,27.0,0,0,0,90.0,90.0,8.0,4.0,4,86.0
4,Bad,68.0,147,5,76.0,30,2,0,72.0,40,6,5,32,3,22.0,1,3,3,48.0,61.0,4.0,2.0,1,67.0
5,Bad,72.0,120,3,51.0,16,1,0,94.0,80,6,5,19,2,53.0,-7,3,3,44.0,81.0,5.0,9.0,0,100.0
6,Bad,87.0,318,31,99.0,12,0,0,100.0,-7,7,8,12,0,25.0,0,0,0,0.0,52.0,0.0,2.0,0,25.0
7,Bad,62.0,295,7,124.0,55,0,0,95.0,8,4,6,57,2,39.0,5,0,0,32.0,48.0,6.0,4.0,2,57.0
8,Good,-9.0,-9,-9,-9.0,-9,-9,-9,-9.0,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0
9,Bad,61.0,105,8,53.0,44,1,0,89.0,6,4,5,45,3,36.0,0,7,7,39.0,60.0,5.0,4.0,1,64.0
10,Bad,57.0,81,2,47.0,13,1,1,79.0,13,6,6,15,1,64.0,0,1,1,48.0,19.0,5.0,4.0,0,100.0
11,Good,85.0,150,7,68.0,19,0,0,100.0,-7,7,8,19,1,58.0,-8,0,0,19.0,55.0,2.0,6.0,0,80.0
12,Bad,66.0,164,5,66.0,19,1,0,95.0,19,6,5,21,1,19.0,0,0,0,65.0,-8.0,3.0,1.0,1,33.0
13,Bad,62.0,164,1,51.0,31,0,0,91.0,3,4,6,32,2,28.0,0,1,1,17.0,62.0,8.0,3.0,2,52.0
14,Good,67.0,247,14,79.0,18,1,0,80.0,4,4,5,21,0,20.0,6,0,0,25.0,50.0,4.0,2.0,1,46.0
15,Good,75.0,135,4,60.0,12,1,0,93.0,26,6,5,14,2,43.0,7,0,0,79.0,96.0,3.0,3.0,1,100.0
16,Good,71.0,245,25,122.0,11,0,0,91.0,7,4,6,11,0,45.0,-8,0,0,-8.0,-8.0,-8.0,1.0,-8,100.0
17,Bad,73.0,275,15,116.0,8,0,0,75.0,0,4,6,8,0,50.0,-7,0,0,10.0,97.0,1.0,2.0,0,75.0
18,Good,85.0,278,13,104.0,23,0,0,100.0,-7,7,8,23,0,35.0,5,1,1,42.0,69.0,1.0,3.0,0,44.0
19,Bad,57.0,171,2,50.0,16,1,1,89.0,9,4,2,19,3,21.0,0,4,4,49.0,79.0,9.0,3.0,2,71.0
20,Good,69.0,142,3,74.0,47,0,0,100.0,-7,7,8,47,1,32.0,0,7,7,32.0,80.0,15.0,4.0,1,71.0
21,Bad,69.0,118,2,42.0,20,1,0,91.0,27,6,5,22,7,23.0,-7,4,4,14.0,-8.0,4.0,1.0,0,55.0
22,Good,87.0,302,14,151.0,20,0,0,100.0,-7,7,8,20,0,30.0,0,0,0,18.0,-8.0,3.0,2.0,0,50.0
23,Bad,72.0,118,4,55.0,14,0,0,100.0,-7,7,8,14,2,36.0,-7,1,1,76.0,-8.0,6.0,-8.0,3,75.0
24,Good,78.0,342,6,95.0,25,0,0,100.0,-7,7,8,25,3,36.0,16,0,0,44.0,97.0,5.0,3.0,1,67.0
25,Bad,57.0,129,4,63.0,32,0,0,84.0,23,6,6,32,5,31.0,0,3,3,82.0,73.0,4.0,4.0,3,73.0
26,Bad,86.0,74,46,60.0,2,0,0,100.0,-7,7,8,2,0,50.0,0,0,0,-8.0,-8.0,0.0,-8.0,-8,0.0
27,Bad,61.0,457,7,97.0,27,1,0,89.0,6,4,5,28,1,21.0,0,2,2,55.0,77.0,12.0,2.0,5,78.0
28,Bad,69.0,172,1,63.0,13,1,0,87.0,41,6,5,15,3,40.0,0,0,0,80.0,-8.0,3.0,1.0,2,50.0
29,Bad,81.0,329,12,111.0,19,0,0,95.0,1,4,6,20,0,55.0,0,0,0,1.0,86.0,2.0,4.0,0,67.0
30,Good,65.0,29,9,18.0,10,0,0,100.0,-7,7,8,10,3,40.0,0,5,5,38.0,68.0,5.0,3.0,0,89.0
31,Bad,68.0,319,2,127.0,26,0,0,93.0,20,6,6,28,2,29.0,0,0,0,29.0,47.0,9.0,4.0,2,62.0
32,Bad,70.0,303,1,69.0,37,0,0,100.0,-7,7,8,40,3,53.0,2,1,1,49.0,82.0,10.0,6.0,0,94.0
33,Good,66.0,173,8,58.0,17,2,1,85.0,2,0,2,20,4,45.0,0,0,0,7.0,68.0,3.0,2.0,0,75.0
34,Bad,84.0,325,2,107.0,13,0,0,100.0,-7,7,8,14,2,29.0,1,1,1,19.0,98.0,4.0,3.0,0,70.0
35,Good,76.0,98,11,50.0,15,0,0,100.0,-7,7,8,15,2,27.0,0,0,0,42.0,60.0,2.0,2.0,1,63.0
36,Bad,77.0,31,31,31.0,1,0,0,100.0,-7,7,8,1,0,0.0,0,6,6,-8.0,-8.0,-8.0,-8.0,-8,-8.0
37,Bad,56.0,23,7,15.0,6,0,0,100.0,-7,7,8,6,2,33.0,0,11,11,95.0,-8.0,3.0,1.0,1,100.0
38,Good,87.0,196,30,117.0,19,0,0,100.0,-7,7,8,20,0,30.0,0,0,0,7.0,-8.0,5.0,-8.0,-8,71.0
39,Bad,65.0,37,5,20.0,16,0,0,100.0,-7,7,8,16,5,44.0,0,0,0,58.0,84.0,1.0,3.0,1,71.0
40,Bad,70.0,43,4,21.0,11,0,0,100.0,-7,7,8,13,4,38.0,0,3,3,64.0,98.0,4.0,3.0,1,88.0
41,Bad,71.0,183,3,96.0,11,1,1,100.0,-7,7,8,13,2,0.0,0,0,0,0.0,-8.0,0.0,-8.0,0,0.0
42,Bad,59.0,-8,41,90.0,4,2,0,50.0,9,3,5,6,0,83.0,13,0,0,16.0,-8.0,1.0,1.0,0,100.0
43,Bad,76.0,316,6,101.0,9,0,0,100.0,-7,7,8,10,1,80.0,0,1,1,81.0,70.0,1.0,1.0,1,100.0
44,Good,79.0,421,3,66.0,15,0,0,100.0,-7,7,8,15,1,40.0,0,0,0,46.0,63.0,2.0,2.0,2,50.0
45,Bad,55.0,37,6,24.0,6,1,0,86.0,1,3,5,7,2,57.0,0,0,0,13.0,-8.0,2.0,1.0,1,75.0
46,Good,72.0,403,31,180.0,23,0,0,87.0,56,6,6,23,0,17.0,0,1,1,53.0,-8.0,9.0,1.0,3,83.0
47,Good,89.0,209,1,96.0,22,0,0,100.0,-7,7,8,26,3,38.0,5,1,1,18.0,59.0,2.0,3.0,0,71.0
48,Bad,59.0,123,4,66.0,32,1,1,88.0,6,4,6,32,2,31.0,-7,0,0,36.0,76.0,5.0,4.0,2,56.0
49,Bad,71.0,229,4,89.0,47,1,1,92.0,3,0,2,21,3,25.0,-7,0,0,24.0,88.0,10.0,4.0,1,63.0
50,Bad,56.0,79,35,56.0,6,3,0,67.0,3,4,5,9,0,33.0,0,0,0,54.0,-8.0,1.0,1.0,0,100.0
51,Bad,-9.0,-9,-9,-9.0,-9,-9,-9,-9.0,-9,-9,-9,-9,-9,-9.0,-9,-9,-9,-9.0,-9.0,-9.0,-9.0,-9,-9.0
52,Bad,63.0,213,18,98.0,4,2,2,100.0,-7,6,8,4,0,50.0,-7,0,0,114.0,-8.0,1.0,1.0,-8,100.0
53,Bad,63.0,271,2,51.0,20,0,0,100.0,-7,7,8,26,2,32.0,-7,1,1,88.0,94.0,9.0,2.0,3,100.0
54,Good,85.0,449,5,71.0,33,0,0,100.0,-7,7,8,23,2,12.0,5,2,2,1.0,93.0,2.0,2.0,0,21.0
55,Good,68.0,90,4,52.0,14,2,1,88.0,62,6,2,16,1,75.0,-7,1,1,55.0,78.0,2.0,11.0,1,93.0
56,Good,80.0,162,5,58.0,41,0,0,98.0,-8,6,6,42,5,60.0,0,0,0,6.0,90.0,3.0,10.0,0,64.0
57,Bad,68.0,155,13,48.0,10,2,2,90.0,8,4,6,12,0,40.0,0,0,0,59.0,49.0,3.0,4.0,0,100.0
58,Good,81.0,133,15,63.0,20,0,0,100.0,-7,7,8,20,0,35.0,11,0,0,5.0,-8.0,1.0,1.0,0,25.0
59,Good,86.0,333,6,93.0,32,0,0,100.0,-7,7,8,32,3,22.0,0,0,0,6.0,-8.0,6.0,2.0,0,44.0
60,Good,78.0,165,7,52.0,8,0,0,100.0,-7,7,8,8,1,38.0,-7,1,1,53.0,91.0,2.0,2.0,0,80.0
61,Good,77.0,68,11,31.0,7,0,0,100.0,-7,7,8,7,2,14.0,0,4,3,0.0,-8.0,0.0,-8.0,0,0.0
63,Good,83.0,363,27,127.0,20,0,0,85.0,16,6,6,20,0,40.0,-8,0,0,0.0,-8.0,1.0,2.0,0,57.0
64,Good,82.0,368,6,106.0,23,0,0,100.0,-7,7,8,23,2,22.0,0,1,1,8.0,-8.0,3.0,1.0,1,36.0
65,Bad,61.0,246,20,95.0,18,2,2,86.0,11,4,4,21,0,38.0,0,1,1,62.0,-8.0,5.0,1.0,2,88.0
66,Good,74.0,319,2,83.0,24,1,0,88.0,9,3,5,28,3,37.0,-7,1,1,6.0,100.0,3.0,2.0,0,42.0
67,Good,79.0,238,7,92.0,23,0,0,96.0,59,6,6,23,1,22.0,0,0,0,31.0,49.0,8.0,3.0,0,61.0
68,Good,67.0,212,16,87.0,24,2,0,86.0,13,6,5,29,0,55.0,0,1,1,41.0,92.0,6.0,2.0,0,100.0
69,Bad,68.0,50,1,81.0,29,0,0,94.0,44,6,6,1,2,22.0,0,2,2,43.0,75.0,2.0,3.0,2,42.0
70,Bad,59.0,183,2,73.0,28,1,1,90.0,2,0,2,31,2,32.0,0,10,10,66.0,62.0,5.0,3.0,1,57.0
71,Bad,67.0,190,17,83.0,29,1,0,93.0,74,6,5,28,0,27.0,17,0,0,72.0,-8.0,7.0,1.0,3,67.0
72,Bad,50.0,239,10,76.0,21,4,3,72.0,2,0,2,9,2,36.0,0,2,2,58.0,94.0,5.0,3.0,0,80.0
73,Bad,56.0,252,7,50.0,13,1,1,86.0,3,0,2,14,3,50.0,0,4,4,67.0,68.0,3.0,3.0,2,60.0
74,Good,68.0,231,2,18.0,6,1,1,100.0,-7,7,8,20,4,0.0,-7,2,2,8.0,-8.0,2.0,-8.0,0,50.0
75,Bad,75.0,146,14,73.0,8,0,0,75.0,5,4,6,57,0,38.0,22,0,0,0.0,-8.0,0.0,1.0,-8,50.0
76,Good,78.0,294,11,78.0,28,1,1,97.0,59,6,3,29,1,24.0,2,1,1,6.0,-8.0,4.0,-8.0,0,33.0
77,Bad,66.0,220,28,119.0,6,0,0,57.0,1,4,6,7,0,0.0,7,0,0,17.0,-8.0,3.0,-8.0,1,75.0
78,Bad,65.0,140,14,49.0,12,1,1,100.0,-7,6,8,12,0,58.0,0,0,0,66.0,-8.0,2.0,3.0,0,100.0
79,Bad,74.0,158,8,88.0,37,0,0,97.0,24,6,6,4,1,42.0,0,2,2,37.0,56.0,3.0,4.0,1,78.0
80,Good,62.0,335,2,26.0,19,0,0,100.0,-7,7,8,7,7,29.0,0,2,2,49.0,-8.0,6.0,4.0,4,67.0
81,Bad,83.0,195,4,94.0,18,0,0,100.0,-7,7,8,18,2,28.0,4,1,1,25.0,56.0,2.0,2.0,0,44.0
82,Good,84.0,163,4,56.0,36,0,0,100.0,-7,7,8,36,2,17.0,12,0,0,14.0,88.0,3.0,2.0,1,46.0
83,Bad,61.0,270,2,38.0,17,0,0,100.0,-7,7,8,22,7,9.0,0,1,1,42.0,71.0,8.0,2.0,4,59.0
84,Bad,74.0,257,7,93.0,33,0,0,92.0,23,6,6,38,2,32.0,0,2,2,1.0,-8.0,4.0,1.0,0,33.0
85,Bad,63.0,191,23,68.0,12,1,1,92.0,4,0,6,8,0,58.0,4,1,1,4.0,40.0,1.0,3.0,0,67.0
86,Bad,69.0,78,5,40.0,16,0,0,100.0,-7,7,8,16,1,25.0,0,2,2,69.0,-8.0,3.0,2.0,2,83.0
87,Good,86.0,149,3,69.0,14,0,0,100.0,-7,7,8,14,2,57.0,-8,0,0,15.0,91.0,1.0,2.0,0,43.0
88,Bad,72.0,113,10,77.0,21,5,5,73.0,36,6,2,26,1,15.0,0,2,2,4.0,-8.0,2.0,1.0,0,60.0
89,Bad,67.0,54,1,20.0,12,0,0,100.0,-7,7,8,13,4,38.0,0,1,1,53.0,98.0,5.0,2.0,1,70.0
90,Bad,68.0,118,7,64.0,11,0,0,86.0,9,4,6,14,1,64.0,0,1,1,27.0,65.0,1.0,5.0,0,100.0
91,Good,66.0,273,2,149.0,8,2,0,83.0,19,6,5,17,3,33.0,1,1,1,44.0,84.0,4.0,2.0,2,70.0
92,Bad,64.0,185,8,96.0,31,2,0,88.0,17,6,5,33,1,21.0,16,0,0,73.0,92.0,8.0,3.0,6,73.0
93,Good,71.0,214,18,127.0,10,1,0,64.0,14,6,5,11,0,18.0,-7,0,0,51.0,81.0,3.0,1.0,2,57.0
94,Bad,83.0,108,17,69.0,8,0,0,100.0,-7,7,8,8,0,63.0,4,1,1,21.0,72.0,1.0,1.0,0,67.0
95,Bad,65.0,80,11,53.0,12,1,1,85.0,21,6,2,14,1,38.0,13,0,0,0.0,85.0,0.0,2.0,-8,67.0
96,Bad,57.0,23,8,56.0,4,2,1,67.0,16,6,4,1,1,33.0,1,2,2,92.0,75.0,1.0,1.0,-8,67.0
97,Good,85.0,211,5,73.0,19,0,0,100.0,-7,7,8,33,4,11.0,0,1,1,17.0,-8.0,3.0,1.0,0,33.0
98,Bad,68.0,261,2,63.0,13,0,0,86.0,25,6,6,14,5,36.0,0,2,2,32.0,95.0,7.0,3.0,0,83.0
99,Bad,68.0,74,3,32.0,14,1,1,93.0,30,6,3,15,4,40.0,0,0,0,58.0,32.0,2.0,5.0,1,64.0
100,Good,77.0,426,9,124.0,19,0,0,95.0,18,6,6,14,1,50.0,-7,0,0,46.0,-8.0,3.0,1.0,1,57.0
101,Bad,79.0,305,9,121.0,12,1,0,69.0,9,4,5,16,1,19.0,-7,0,0,6.0,-8.0,6.0,1.0,0,64.0
103,Good,92.0,407,7,142.0,21,0,0,100.0,-7,7,8,21,1,48.0,-8,0,0,0.0,-8.0,1.0,2.0,0,33.0
104,Good,66.0,311,9,84.0,32,1,1,100.0,-7,7,8,33,3,39.0,-7,0,0,48.0,64.0,9.0,5.0,1,74.0
105,Bad,75.0,262,1,82.0,28,1,0,83.0,13,6,5,31,3,20.0,-7,3,3,9.0,100.0,5.0,1.0,0,47.0
106,Good,72.0,206,6,65.0,43,0,0,100.0,-7,7,8,44,1,34.0,0,1,1,66.0,60.0,7.0,3.0,4,91.0
107,Bad,74.0,-8,3,93.0,19,0,0,90.0,33,6,6,21,3,43.0,-7,2,2,34.0,78.0,4.0,3.0,1,64.0
108,Good,77.0,176,23,87.0,13,0,0,100.0,-7,7,8,13,0,31.0,0,1,1,51.0,-8.0,3.0,1.0,2,57.0
109,Bad,61.0,132,8,69.0,3,1,1,80.0,12,6,2,5,2,100.0,0,0,0,-8.0,94.0,-8.0,2.0,-8,100.0
110,Good,76.0,374,9,124.0,25,0,0,88.0,21,6,6,23,2,24.0,8,0,0,4.0,-8.0,5.0,3.0,0,57.0
111,Good,61.0,187,3,72.0,28,1,0,97.0,1,4,5,30,2,57.0,10,0,0,32.0,53.0,6.0,4.0,1,77.0
112,Bad,58.0,165,8,79.0,27,0,0,96.0,19,6,6,27,1,37.0,4,1,1,85.0,78.0,9.0,5.0,5,100.0
113,Bad,58.0,183,11,36.0,30,0,0,100.0,-7,7,8,32,3,17.0,-7,8,7,87.0,-8.0,15.0,2.0,10,81.0
114,Good,72.0,304,6,83.0,27,0,0,93.0,55,5,6,27,5,33.0,0,2,2,34.0,90.0,6.0,3.0,1,69.0
115,Good,87.0,326,7,111.0,26,0,0,100.0,-7,7,8,30,1,40.0,0,0,0,12.0,89.0,3.0,2.0,0,56.0
116,Good,78.0,249,7,86.0,37,0,0,100.0,-7,7,8,54,5,42.0,2,4,4,41.0,84.0,4.0,6.0,0,79.0
117,Bad,69.0,154,3,63.0,23,1,0,96.0,25,6,5,27,5,33.0,3,1,1,61.0,-8.0,3.0,1.0,1,67.0
118,Good,67.0,296,1,68.0,20,0,0,100.0,-7,7,8,22,5,27.0,0,7,7,64.0,-8.0,7.0,1.0,2,80.0
119,Bad,83.0,115,1,60.0,19,0,0,100.0,-7,7,8,21,3,29.0,1,4,4,8.0,5.0,3.0,2.0,0,45.0
120,Bad,59.0,261,7,158.0,16,0,0,79.0,3,4,6,19,1,21.0,-7,0,0,76.0,86.0,10.0,2.0,4,100.0
121,Good,75.0,116,2,61.0,41,0,0,100.0,-7,7,8,42,1,17.0,0,2,1,34.0,-8.0,2.0,-8.0,1,22.0
122,Bad,64.0,150,2,45.0,12,1,1,86.0,3,0,2,14,4,21.0,0,2,2,9.0,-8.0,4.0,1.0,-8,56.0
123,Good,74.0,-8,2,65.0,35,0,0,100.0,-7,7,8,0,2,28.0,0,1,1,19.0,-8.0,4.0,3.0,1,70.0
124,Good,80.0,139,8,67.0,35,0,0,97.0,29,6,6,35,2,29.0,0,3,3,5.0,87.0,4.0,3.0,0,54.0
125,Bad,54.0,39,6,19.0,6,7,7,100.0,-7,0,8,15,1,75.0,0,2,2,92.0,86.0,2.0,3.0,2,100.0
127,Good,85.0,207,8,102.0,21,0,0,100.0,-7,7,8,21,1,29.0,8,0,0,0.0,-8.0,2.0,1.0,0,67.0
128,Good,91.0,225,4,121.0,12,0,0,100.0,-7,7,8,28,2,25.0,-8,0,0,3.0,-8.0,2.0,1.0,0,60.0
129,Good,72.0,391,14,95.0,15,0,0,87.0,19,6,6,15,0,27.0,-8,0,0,30.0,72.0,8.0,2.0,1,91.0
130,Bad,64.0,111,3,35.0,15,2,2,100.0,-7,7,8,17,2,33.0,0,1,1,70.0,97.0,4.0,3.0,0,78.0
131,Good,60.0,255,1,92.0,29,0,0,77.0,2,4,6,34,5,19.0,5,3,3,14.0,-8.0,5.0,1.0,1,60.0
132,Good,79.0,275,0,91.0,13,0,0,86.0,6,4,6,14,3,29.0,6,0,0,0.0,-8.0,1.0,1.0,0,33.0
133,Bad,56.0,137,4,65.0,38,1,0,80.0,2,4,5,41,2,27.0,0,1,1,64.0,48.0,7.0,2.0,2,69.0
134,Good,62.0,187,2,68.0,27,7,5,79.0,32,6,3,33,4,24.0,2,3,3,4.0,80.0,1.0,5.0,0,32.0
135,Bad,82.0,299,1,112.0,12,0,0,100.0,-7,7,8,13,3,8.0,0,1,1,34.0,-8.0,4.0,1.0,1,45.0
136,Bad,86.0,379,8,176.0,24,0,0,100.0,-7,7,8,27,1,22.0,0,0,0,0.0,-8.0,2.0,-8.0,0,20.0
137,Bad,73.0,77,5,44.0,15,0,0,100.0,-7,7,8,15,1,67.0,14,0,0,68.0,77.0,3.0,4.0,2,100.0
138,Bad,78.0,169,2,53.0,21,0,0,95.0,24,6,6,22,1,45.0,-7,0,0,0.0,78.0,2.0,1.0,0,43.0
139,Good,70.0,92,11,57.0,16,0,0,88.0,16,6,6,16,1,44.0,0,0,0,37.0,61.0,1.0,3.0,0,67.0
140,Bad,63.0,131,11,61.0,8,2,1,60.0,17,6,3,10,1,30.0,3,2,1,78.0,45.0,3.0,1.0,2,80.0
141,Bad,61.0,197,5,54.0,40,1,1,95.0,3,0,2,23,1,15.0,4,2,2,60.0,39.0,16.0,2.0,7,67.0
142,Bad,67.0,118,6,37.0,23,2,2,88.0,70,6,2,26,5,42.0,0,0,0,31.0,70.0,5.0,3.0,1,67.0
143,Bad,66.0,150,14,80.0,17,3,1,67.0,43,6,5,24,0,63.0,0,0,0,-8.0,61.0,-8.0,2.0,-8,100.0
144,Bad,75.0,169,2,59.0,21,0,0,100.0,-7,7,8,22,4,36.0,-7,4,4,43.0,112.0,4.0,6.0,0,83.0
145,Bad,58.0,120,8,67.0,22,1,0,74.0,6,3,5,23,1,26.0,0,2,2,87.0,79.0,7.0,3.0,4,92.0
146,Bad,73.0,211,11,108.0,26,0,0,97.0,8,4,6,29,1,14.0,0,0,0,15.0,-8.0,6.0,1.0,0,47.0
147,Bad,77.0,330,8,72.0,16,0,0,100.0,-7,7,8,16,3,56.0,0,0,0,0.0,-8.0,0.0,3.0,0,43.0
148,Bad,60.0,342,2,77.0,29,4,0,72.0,25,5,5,36,4,58.0,0,1,1,47.0,88.0,3.0,4.0,1,88.0
149,Good,56.0,172,4,64.0,16,2,0,68.0,5,4,5,19,3,37.0,0,0,0,46.0,86.0,4.0,2.0,1,55.0
151,Good,67.0,279,5,60.0,35,0,0,100.0,-7,7,8,36,4,43.0,2,2,2,93.0,90.0,1.0,4.0,-8,100.0
152,Good,61.0,282,2,86.0,40,1,1,95.0,1,0,2,42,4,14.0,0,3,3,40.0,100.0,8.0,2.0,2,55.0
153,Bad,77.0,275,0,63.0,15,1,0,89.0,29,6,5,18,4,22.0,0,2,2,18.0,-8.0,4.0,1.0,0,56.0
154,Good,84.0,347,5,75.0,25,0,0,100.0,-7,7,8,19,3,44.0,4,1,1,2.0,81.0,2.0,3.0,0,56.0
155,Bad,74.0,277,30,123.0,24,0,0,88.0,12,6,6,24,0,25.0,0,0,0,45.0,-8.0,12.0,1.0,2,93.0
157,Bad,66.0,244,11,128.0,30,0,0,93.0,4,4,6,10,1,43.0,2,1,1,23.0,74.0,8.0,4.0,2,100.0
158,Good,72.0,242,6,68.0,15,0,0,87.0,5,4,6,16,1,73.0,7,0,0,0.0,8.0,0.0,2.0,0,50.0
